Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Mitotic Spindle Organization (GO:0007052)	4/85	6.256140e-08	1.226203e-05	0	0	1.638601e+02	2.717966e+03	TPX2;KIF4A;PLK1;AURKA
GO_Biological_Process_2023	Mitotic Cell Cycle Phase Transition (GO:0044772)	4/111	1.838952e-07	1.701230e-05	0	0	1.238816e+02	1.921268e+03	CCNB2;PLK1;CDK1;AURKA
GO_Biological_Process_2023	Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	3/28	2.929226e-07	1.701230e-05	0	0	3.422571e+02	5.148696e+03	PLK1;FBXO5;BUB1
GO_Biological_Process_2023	Regulation Of Cell Cycle Process (GO:0010564)	4/130	3.471898e-07	1.701230e-05	0	0	1.051005e+02	1.563202e+03	PLK1;FBXO5;BUB1;AURKA
GO_Biological_Process_2023	G2/M Transition Of Mitotic Cell Cycle (GO:0000086)	3/38	7.523331e-07	2.876789e-05	0	0	2.443469e+02	3.445313e+03	PLK1;CDK1;AURKA
GO_Biological_Process_2023	Cell Cycle G2/M Phase Transition (GO:0044839)	3/40	8.806497e-07	2.876789e-05	0	0	2.311158e+02	3.222357e+03	PLK1;CDK1;AURKA
GO_Biological_Process_2023	Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)	3/59	2.883285e-06	8.073197e-05	0	0	1.525561e+02	1.946094e+03	KIF4A;PLK1;CDK1
GO_Biological_Process_2023	DNA Damage Response (GO:0006974)	4/384	2.563688e-05	5.973641e-04	0	0	3.440351e+01	3.636960e+02	TOP2A;CDK1;MCM10;FBXO5
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle (GO:0007346)	3/125	2.769740e-05	5.973641e-04	0	0	6.979391e+01	7.324293e+02	PLK1;FBXO5;AURKA
GO_Biological_Process_2023	Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)	2/17	3.047776e-05	5.973641e-04	0	0	3.329167e+02	3.461838e+03	PLK1;FBXO5
GO_Biological_Process_2023	Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971)	2/21	4.701126e-05	8.376551e-04	0	0	2.627763e+02	2.618598e+03	CDK1;FBXO5
GO_Biological_Process_2023	Peptidyl-Serine Phosphorylation (GO:0018105)	3/158	5.573290e-05	8.377136e-04	0	0	5.484332e+01	5.371870e+02	PLK1;CDK1;AURKA
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751)	2/24	6.173695e-05	8.377136e-04	0	0	2.269091e+02	2.199345e+03	CDK1;FBXO5
GO_Biological_Process_2023	Peptidyl-Serine Modification (GO:0018209)	3/166	6.455818e-05	8.377136e-04	0	0	5.213059e+01	5.029530e+02	PLK1;CDK1;AURKA
GO_Biological_Process_2023	Spindle Assembly Checkpoint Signaling (GO:0071173)	2/26	7.265883e-05	8.377136e-04	0	0	2.079792e+02	1.981986e+03	PLK1;BUB1
GO_Biological_Process_2023	Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	2/26	7.265883e-05	8.377136e-04	0	0	2.079792e+02	1.981986e+03	PLK1;BUB1
GO_Biological_Process_2023	Mitotic Spindle Checkpoint Signaling (GO:0071174)	2/26	7.265883e-05	8.377136e-04	0	0	2.079792e+02	1.981986e+03	PLK1;BUB1
GO_Biological_Process_2023	Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	2/30	9.714759e-05	1.057829e-03	0	0	1.782321e+02	1.646737e+03	PLK1;CDK1
GO_Biological_Process_2023	Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438)	2/32	1.107116e-04	1.084974e-03	0	0	1.663333e+02	1.515061e+03	PLK1;FBXO5
GO_Biological_Process_2023	Chromosome Condensation (GO:0030261)	2/32	1.107116e-04	1.084974e-03	0	0	1.663333e+02	1.515061e+03	TOP2A;PLK1
GO_Biological_Process_2023	Sister Chromatid Segregation (GO:0000819)	2/34	1.251535e-04	1.168100e-03	0	0	1.559219e+02	1.401109e+03	TOP2A;PLK1
GO_Biological_Process_2023	Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389)	2/35	1.327033e-04	1.182266e-03	0	0	1.511894e+02	1.349727e+03	CDK1;FBXO5
GO_Biological_Process_2023	Regulation Of Mitotic Spindle Organization (GO:0060236)	2/39	1.650898e-04	1.406852e-03	0	0	1.348176e+02	1.174129e+03	TPX2;PLK1
GO_Biological_Process_2023	Mitotic Spindle Assembly (GO:0090307)	2/44	2.104819e-04	1.718935e-03	0	0	1.187381e+02	1.005250e+03	TPX2;KIF4A
GO_Biological_Process_2023	Mitotic G2/M Transition Checkpoint (GO:0044818)	2/46	2.301614e-04	1.804466e-03	0	0	1.133295e+02	9.493310e+02	PLK1;CDK1
GO_Biological_Process_2023	Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	2/49	2.613078e-04	1.969859e-03	0	0	1.060798e+02	8.751383e+02	PLK1;FBXO5
GO_Biological_Process_2023	Regulation Of Protein Localization To Nucleus (GO:1900180)	2/52	2.944024e-04	2.137143e-03	0	0	9.970000e+01	8.106171e+02	PLK1;CDK1
GO_Biological_Process_2023	Organelle Disassembly (GO:1903008)	2/54	3.175455e-04	2.159484e-03	0	0	9.585577e+01	7.721076e+02	CDK1;AURKA
GO_Biological_Process_2023	DNA Metabolic Process (GO:0006259)	3/288	3.289879e-04	2.159484e-03	0	0	2.963158e+01	2.376301e+02	TOP2A;CDK1;MCM10
GO_Biological_Process_2023	Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	2/56	3.415510e-04	2.159484e-03	0	0	9.229630e+01	7.367103e+02	PLK1;CDK1
GO_Biological_Process_2023	Regulation Of Mitotic Nuclear Division (GO:0007088)	2/56	3.415510e-04	2.159484e-03	0	0	9.229630e+01	7.367103e+02	FBXO5;AURKA
GO_Biological_Process_2023	Mitotic Cytokinesis (GO:0000281)	2/59	3.791732e-04	2.322436e-03	0	0	8.742544e+01	6.886954e+02	KIF4A;PLK1
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	2/63	4.323414e-04	2.567846e-03	0	0	8.167623e+01	6.326882e+02	CDK1;FBXO5
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Nucleus (GO:1900182)	2/72	5.644733e-04	3.254023e-03	0	0	7.114286e+01	5.321214e+02	PLK1;CDK1
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	2/79	6.791469e-04	3.781288e-03	0	0	6.465260e+01	4.716196e+02	CCNB2;PLK1
GO_Biological_Process_2023	Regulation Of Cytokinesis (GO:0032465)	2/80	6.963752e-04	3.781288e-03	0	0	6.382051e+01	4.639510e+02	PLK1;AURKA
GO_Biological_Process_2023	Cytoskeleton-Dependent Cytokinesis (GO:0061640)	2/81	7.138146e-04	3.781288e-03	0	0	6.300949e+01	4.564967e+02	KIF4A;PLK1
GO_Biological_Process_2023	Regulation Of Cell Division (GO:0051302)	2/83	7.493259e-04	3.864944e-03	0	0	6.144753e+01	4.421971e+02	PLK1;AURKA
GO_Biological_Process_2023	Positive Regulation Of Protein Localization (GO:1903829)	2/85	7.856795e-04	3.940441e-03	0	0	5.996084e+01	4.286578e+02	PLK1;CDK1
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	2/86	8.041717e-04	3.940441e-03	0	0	5.924405e+01	4.221552e+02	PLK1;AURKA
GO_Biological_Process_2023	Phosphorylation (GO:0016310)	3/429	1.051153e-03	5.025024e-03	0	0	1.968209e+01	1.349772e+02	PLK1;CDK1;AURKA
GO_Biological_Process_2023	Mitotic Sister Chromatid Segregation (GO:0000070)	2/111	1.334294e-03	6.226704e-03	0	0	4.559862e+01	3.018334e+02	TPX2;PLK1
GO_Biological_Process_2023	Regulation Of Protein Binding (GO:0043393)	2/118	1.505888e-03	6.864048e-03	0	0	4.283190e+01	2.783376e+02	PLK1;AURKA
GO_Biological_Process_2023	Protein Phosphorylation (GO:0006468)	3/500	1.634778e-03	7.282193e-03	0	0	1.680914e+01	1.078516e+02	PLK1;CDK1;AURKA
GO_Biological_Process_2023	Negative Regulation Of Meiotic Cell Cycle (GO:0051447)	1/5	2.497708e-03	1.064241e-02	0	0	5.551667e+02	3.326771e+03	FBXO5
GO_Biological_Process_2023	Centromeric Sister Chromatid Cohesion (GO:0070601)	1/5	2.497708e-03	1.064241e-02	0	0	5.551667e+02	3.326771e+03	BUB1
GO_Biological_Process_2023	Negative Regulation Of Meiotic Nuclear Division (GO:0045835)	1/6	2.996578e-03	1.223603e-02	0	0	4.441111e+02	2.580412e+03	FBXO5
GO_Biological_Process_2023	Mitotic Nuclear Membrane Disassembly (GO:0007077)	1/6	2.996578e-03	1.223603e-02	0	0	4.441111e+02	2.580412e+03	PLK1
